english,tamil,batch,sentence_number,doc_id
"Commercial lease agreement dispute involving breach of payment terms and force majeure clause interpretation between commercial entities","வணிக குத்தகை ஒப்பந்த தகராறு பேமெண்ட் விதிமுறைகள் மீறல் மற்றும் வணிக நிறுவனங்களுக்கிடையே அதிக சக்தி உறுப்பு விளக்கம்",1,1,"HC_DEL_COM_2023_001"
"Criminal procedure evidence admissibility in digital forensic investigation with chain of custody requirements","டிஜிட்டல் தடயவியல் விசாரணையில் சான்று வரிசை தேவைகளுடன் குற்றவியல் நடைமுறை சான்று ஏற்புடைமை",1,2,"SC_IND_CRM_2024_002"
"Family court custody determination considering child welfare and parental fitness evaluation","குழந்தை நலன் மற்றும் பெற்றோர் தகுதி மதிப்பீட்டை கருத்தில் கொண்டு குடும்ப நீதிமன்றம் காவல் தீர்மானம்",2,1,"FC_MUM_FAM_2023_003"
"Constitutional law fundamental rights violation in emergency provisions and state power limitations","அவசரகால விதிகள் மற்றும் மாநில அதிகார வரம்புகளில் அரசியலமைப்பு சட்ட அடிப்படை உரிமைகள் மீறல்",2,2,"SC_IND_CON_2023_004"
"Trademark infringement case involving brand protection and intellectual property rights violation","பிராண்ட் பாதுகாப்பு மற்றும் அறிவுசார் சொத்து உரிமைகள் மீறல் சம்பந்தப்பட்ட வர்த்தக முத்திரை மீறல் வழக்கு",3,1,"HC_DEL_COM_2024_005"
"Labor law employment contract termination with wrongful dismissal and compensation claims","தவறான பணிநீக்கம் மற்றும் இழப்பீட்டு கோரிக்கைகளுடன் தொழிலாளர் சட்ட வேலை ஒப்பந்தம் முடிவு",3,2,"HC_BOM_LAB_2024_006"
"Environmental law pollution control violation with corporate liability and remedial measures","கார்ப்பரேட் பொறுப்பு மற்றும் தீர்வு நடவடிக்கைகளுடன் சுற்றுச்சூழல் சட்ட மாசு கட்டுப்பாடு மீறல்",4,1,"HC_MAD_ENV_2023_007"
"Banking law loan recovery proceedings with mortgage enforcement and debtor protection rights","அடமான அமலாக்கம் மற்றும் கடனாளி பாதுகாப்பு உரிமைகளுடன் வங்கி சட்ட கடன் மீட்பு நடைமுறைகள்",4,2,"HC_CAL_BAN_2024_008"
"Medical negligence case with professional liability and patient safety standards evaluation","தொழில்முறை பொறுப்பு மற்றும் நோயாளி பாதுகாப்பு தரநிலைகள் மதிப்பீடுடன் மருத்துவ அலட்சியம் வழக்கு",5,1,"HC_HYD_MED_2023_009"
"Consumer protection law defective product liability with warranty breach and damages assessment","உத்தரவாதம் மீறல் மற்றும் சேத மதிப்பீட்டுடன் நுகர்வோர் பாதுகாப்பு சட்ட குறைபாடுள்ள தயாரிப்பு பொறுப்பு",5,2,"DC_DEL_CON_2024_010"
